mpirun  --map-by node --mca pml ob1 --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode007, tnode008
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,16.02,0.00
1,1000,16.07,0.06
2,1000,16.06,0.12
4,1000,16.09,0.25
8,1000,16.06,0.50
16,1000,16.12,0.99
32,1000,16.12,1.99
64,1000,16.34,3.92
128,1000,16.66,7.68
256,1000,16.64,15.39
512,1000,16.90,30.30
1024,1000,17.42,58.79
2048,1000,38.77,52.83
4096,1000,39.25,104.36
8192,1000,39.96,205.02
16384,1000,41.97,390.41
32768,1000,47.95,683.34
65536,640,61.69,1062.42
131072,320,112.84,1161.59
262144,160,145.10,1806.62
524288,80,210.37,2492.26
1048576,40,334.18,3137.78
2097152,20,619.46,3385.47
4194304,10,1260.76,3326.81
8388608,5,2788.12,3008.70
16777216,2,5682.66,2952.35
33554432,1,11630.59,2885.01
67108864,1,22941.60,2925.20
134217728,1,44752.16,2999.13
268435456,1,89644.79,2994.43
536870912,1,177097.27,3031.50
