#mpirun  --map-by socket --mca pml ob1 --mca btl self,tcp -np 2 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#ct1pt-tnode007
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.01,0.00
1,1000,8.08,0.12
2,1000,8.11,0.25
4,1000,8.08,0.49
8,1000,8.05,0.99
16,1000,8.10,1.98
32,1000,8.15,3.93
64,1000,8.12,7.89
128,1000,8.57,14.93
256,1000,8.65,29.61
512,1000,8.70,58.87
1024,1000,9.57,106.96
2048,1000,9.20,222.58
4096,1000,10.81,378.85
8192,1000,11.80,693.99
16384,1000,15.53,1054.77
32768,1000,26.03,1258.88
65536,640,56.88,1152.10
131072,320,81.25,1613.22
262144,160,123.18,2128.12
524288,80,196.31,2670.74
1048576,40,327.91,3197.74
2097152,20,625.32,3353.70
4194304,10,1233.68,3399.83
8388608,5,2440.83,3436.78
16777216,2,5052.03,3320.89
33554432,1,10474.99,3203.29
67108864,1,20664.22,3247.59
134217728,1,42161.33,3183.43
268435456,1,85087.20,3154.83
