mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 29
gnode001
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,10.23,0.00
1,1000,9.81,0.10
2,1000,10.18,0.20
4,1000,9.81,0.41
8,1000,10.11,0.79
16,1000,10.23,1.56
32,1000,10.24,3.13
64,1000,10.10,6.34
128,1000,10.02,12.77
256,1000,10.01,25.57
512,1000,11.68,43.84
1024,1000,11.77,87.02
2048,1000,12.69,161.43
4096,1000,14.50,282.46
8192,1000,15.18,539.78
16384,1000,28.60,572.78
32768,1000,43.41,754.80
65536,640,62.88,1042.20
131072,320,116.53,1124.79
262144,160,141.47,1853.02
524288,80,207.80,2523.02
1048576,40,384.81,2724.91
2097152,20,756.10,2773.64
4194304,10,1478.54,2836.78
8388608,5,2963.44,2830.70
16777216,2,6014.43,2789.49
33554432,1,12014.21,2792.90
67108864,1,24247.70,2767.64
134217728,1,46849.43,2864.87
268435456,1,95482.81,2811.35
536870912,1,193492.64,2774.63
